2023/07/24 08:52:39 Sede: SEDE, Codigo: CODIGO , Clico Academico: CICLO ACADÉMICO, Año: AÑO, Perido: PERIODO, Numero Cuota: Num. Cuota, Cuota: CUOTA DE ENSEÑANZA  
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: J03932K , Clico Academico: 12, Año: 2022, Perido: 2, Numero Cuota: 4, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: J03932K , Clico Academico: 12, Año: 2022, Perido: 2, Numero Cuota: 5, Cuota: 33.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D03069H , Clico Academico: 11, Año: 2016, Perido: 2, Numero Cuota: 1, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D03069H , Clico Academico: 11, Año: 2016, Perido: 2, Numero Cuota: 2, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D03069H , Clico Academico: 11, Año: 2016, Perido: 2, Numero Cuota: 3, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D03069H , Clico Academico: 11, Año: 2016, Perido: 2, Numero Cuota: 4, Cuota: 102.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D03069H , Clico Academico: 11, Año: 2016, Perido: 2, Numero Cuota: 5, Cuota: 102.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: 910419A , Clico Academico: 11, Año: 2018, Perido: 2, Numero Cuota: 1, Cuota: 217.50 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: 910419A , Clico Academico: 11, Año: 2018, Perido: 2, Numero Cuota: 2, Cuota: 217.50 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: 910419A , Clico Academico: 11, Año: 2018, Perido: 2, Numero Cuota: 3, Cuota: 217.50 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: 910419A , Clico Academico: 11, Año: 2018, Perido: 2, Numero Cuota: 4, Cuota: 217.50 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A83141G , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 1, Cuota: 110.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A83141G , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 2, Cuota: 110.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A83141G , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 3, Cuota: 110.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A83141G , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 4, Cuota: 110.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07760J , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 1, Cuota: 45.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07760J , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 2, Cuota: 45.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07760J , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 3, Cuota: 45.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07760J , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 4, Cuota: 45.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07760J , Clico Academico: 10, Año: 2015, Perido: 1, Numero Cuota: 5, Cuota: 45.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A85005H , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 1, Cuota: 126.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A85005H , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 2, Cuota: 126.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A85005H , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 3, Cuota: 126.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A85005H , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 4, Cuota: 126.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A85005H , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 5, Cuota: 126.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C05129G , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 4, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C05129G , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 5, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C05129G , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 1, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C05129G , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 2, Cuota: 33.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C05129G , Clico Academico: 10, Año: 2015, Perido: 2, Numero Cuota: 3, Cuota: 33.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A87338H , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 1, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A87338H , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 2, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A87338H , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 3, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A87338H , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 4, Cuota: 112.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: A87338H , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 5, Cuota: 112.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D04069I , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 1, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D04069I , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 2, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D04069I , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 3, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D04069I , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 4, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D04069I , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 5, Cuota: 250.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07761K , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 1, Cuota: 72.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07761K , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 2, Cuota: 72.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07761K , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 3, Cuota: 72.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07761K , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 4, Cuota: 72.00 
2023/07/24 08:52:39 Sede: CERRO DE PASCO, Codigo: D07761K , Clico Academico: 10, Año: 2016, Perido: 1, Numero Cuota: 5, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A81394D , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 1, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A81394D , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 2, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A81394D , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 3, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A81394D , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 4, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A81394D , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 5, Cuota: 180.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C02579B , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 1, Cuota: 168.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C02579B , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 2, Cuota: 168.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C02579B , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 3, Cuota: 168.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C02579B , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 4, Cuota: 168.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C02579B , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 5, Cuota: 168.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C09022C , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 1, Cuota: 66.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C09022C , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 2, Cuota: 66.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C09022C , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 3, Cuota: 66.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C09022C , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 4, Cuota: 66.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C09022C , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 5, Cuota: 66.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: D11744G , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 1, Cuota: 205.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: D11744G , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 2, Cuota: 205.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: D11744G , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 3, Cuota: 205.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: D11744G , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 4, Cuota: 205.00 
2023/07/24 08:52:39 Sede: LA MERCED, Codigo: D11744G , Clico Academico: 10, Año: 2016, Perido: 2, Numero Cuota: 5, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A83775I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 1, Cuota: 64.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A83775I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 2, Cuota: 64.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A83775I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 3, Cuota: 64.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A83775I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 4, Cuota: 64.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: A83775I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 5, Cuota: 64.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C04795D , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 1, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C04795D , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 2, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C04795D , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 3, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C04795D , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 4, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C04795D , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 5, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D10061I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 1, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D10061I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 2, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D10061I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 3, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D10061I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 4, Cuota: 180.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D10061I , Clico Academico: 10, Año: 2017, Perido: 1, Numero Cuota: 5, Cuota: 180.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C05687E , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 1, Cuota: 220.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C05687E , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 2, Cuota: 220.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C05687E , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 3, Cuota: 220.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C05687E , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 4, Cuota: 220.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C05687E , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 5, Cuota: 220.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E02054A , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 1, Cuota: 110.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E02054A , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 2, Cuota: 110.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E02054A , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 3, Cuota: 110.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E02054A , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 4, Cuota: 110.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E02054A , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 5, Cuota: 110.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E12474H , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 1, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E12474H , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 2, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E12474H , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 3, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E12474H , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 4, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E12474H , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 5, Cuota: 205.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F07484B , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 1, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F07484B , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 2, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F07484B , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 3, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F07484B , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 4, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F07484B , Clico Academico: 10, Año: 2017, Perido: 2, Numero Cuota: 5, Cuota: 250.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C08989B , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 1, Cuota: 104.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C08989B , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 2, Cuota: 104.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C08989B , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 3, Cuota: 104.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C08989B , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 4, Cuota: 104.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: C08989B , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 5, Cuota: 104.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C09511F , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 1, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C09511F , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 2, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C09511F , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 3, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C09511F , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 4, Cuota: 250.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: C09511F , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 5, Cuota: 250.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D09344J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 3, Cuota: 400.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D09344J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 4, Cuota: 400.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D09344J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 5, Cuota: 400.00 
2023/07/24 08:52:39 Sede: HUANUCO, Codigo: H06774J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 1, Cuota: 70.00 
2023/07/24 08:52:39 Sede: HUANUCO, Codigo: H06774J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 2, Cuota: 70.00 
2023/07/24 08:52:39 Sede: HUANUCO, Codigo: H06774J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 3, Cuota: 70.00 
2023/07/24 08:52:39 Sede: HUANUCO, Codigo: H06774J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 4, Cuota: 70.00 
2023/07/24 08:52:39 Sede: HUANUCO, Codigo: H06774J , Clico Academico: 10, Año: 2018, Perido: 1, Numero Cuota: 5, Cuota: 70.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: B92586I , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 1, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: B92586I , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 2, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: B92586I , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 3, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: B92586I , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 4, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: B92586I , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 5, Cuota: 72.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E09038J , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 1, Cuota: 156.25 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E09038J , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 2, Cuota: 156.25 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E09038J , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 3, Cuota: 156.25 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E09038J , Clico Academico: 10, Año: 2018, Perido: 2, Numero Cuota: 4, Cuota: 156.25 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D09855F , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 1, Cuota: 330.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D09855F , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 2, Cuota: 330.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D09855F , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 3, Cuota: 330.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D09855F , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 4, Cuota: 330.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D09855F , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 5, Cuota: 330.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F09315H , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 4, Cuota: 121.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F09315H , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 5, Cuota: 121.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F09315H , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 1, Cuota: 121.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F09315H , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 2, Cuota: 121.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F09315H , Clico Academico: 10, Año: 2019, Perido: 1, Numero Cuota: 3, Cuota: 121.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D01450K , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 1, Cuota: 360.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D01450K , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 360.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D01450K , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 360.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: D01450K , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 360.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D06397D , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 130.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: D06397D , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 5, Cuota: 130.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E10819I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 1, Cuota: 113.75 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E10819I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 113.75 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E10819I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 113.75 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: E10819I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 113.75 
2023/07/24 08:52:39 Sede: LIMA, Codigo: F06196A , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 1, Cuota: 115.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: F06196A , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 115.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: F06196A , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 115.00 
2023/07/24 08:52:39 Sede: LIMA, Codigo: F06196A , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 4, Cuota: 115.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F12050I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 1, Cuota: 48.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F12050I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 2, Cuota: 48.00 
2023/07/24 08:52:39 Sede: HUANCAYO, Codigo: F12050I , Clico Academico: 10, Año: 2019, Perido: 2, Numero Cuota: 3, Cuota: 48.00 
